"Feature","Log2FC","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"LOC101059915",0.0664,-2.54,0.171,0.865,0.98,"None","101059915","chromosome X open reading frame 49-like","NS",0.0629838925351858
"NET1",-0.0392,6.41,-0.17,0.865,0.98,"None","10276","neuroepithelial cell transforming 1","NS",0.0629838925351858
"CHEK2",-0.0366,0.754,-0.171,0.865,0.98,"None","11200","checkpoint kinase 2","NS",0.0629838925351858
"FAM83C",-0.0575,-2.21,-0.171,0.865,0.98,"None","128876","family with sequence similarity 83 member C","NS",0.0629838925351858
"KCTD19",0.0575,0.279,0.17,0.865,0.98,"None","146212","potassium channel tetramerization domain containing 19","NS",0.0629838925351858
"LIMCH1",0.0239,6.49,0.17,0.865,0.98,"None","22998","LIM and calponin homology domains 1","NS",0.0629838925351858
"LRP2",0.0763,-2.21,0.172,0.865,0.98,"None","4036","LDL receptor related protein 2","NS",0.0629838925351858
"NEO1",0.024,6.63,0.17,0.865,0.98,"None","4756","neogenin 1","NS",0.0629838925351858
"DEK",0.0288,6.89,0.17,0.865,0.98,"None","7913","DEK proto-oncogene","NS",0.0629838925351858
"RAB29",0.0385,4.51,0.171,0.865,0.98,"None","8934","RAB29, member RAS oncogene family","NS",0.0629838925351858
"NAV2",-0.0331,6.13,-0.17,0.865,0.98,"None","89797","neuron navigator 2","NS",0.0629838925351858
"CASP8AP2",0.0395,3.26,0.171,0.865,0.98,"None","9994","caspase 8 associated protein 2","NS",0.0629838925351858
"NPM3",0.0247,3.21,0.169,0.866,0.98,"None","10360","nucleophosmin/nucleoplasmin 3","NS",0.0624821079826534
"ZNF274",-0.0424,4.78,-0.169,0.866,0.98,"None","10782","zinc finger protein 274","NS",0.0624821079826534
"EVC2",-0.0346,1.1,-0.17,0.866,0.98,"Non-endocrine","132884","EvC ciliary complex subunit 2","NS",0.0624821079826534
"CYP2C8",0.0512,1.72,0.169,0.866,0.98,"None","1558","cytochrome P450 family 2 subfamily C member 8","NS",0.0624821079826534
"TTLL11",0.0298,1.56,0.17,0.866,0.98,"None","158135","tubulin tyrosine ligase like 11","NS",0.0624821079826534
"BRI3",-0.0305,6.06,-0.17,0.866,0.98,"None","25798","brain protein I3","NS",0.0624821079826534
"JARID2",-0.0339,5.05,-0.169,0.866,0.98,"None","3720","jumonji and AT-rich interaction domain containing 2","NS",0.0624821079826534
"SH2D5",0.0775,-0.241,0.169,0.866,0.98,"None","400745","SH2 domain containing 5","NS",0.0624821079826534
"NDUFB3",0.0307,4,0.169,0.866,0.98,"None","4709","NADH:ubiquinone oxidoreductase subunit B3","NS",0.0624821079826534
"PYCR1",-0.0372,4.56,-0.17,0.866,0.98,"Non-endocrine","5831","pyrroline-5-carboxylate reductase 1","NS",0.0624821079826534
"BCKDHA",-0.0543,-0.728,-0.169,0.866,0.98,"None","593","branched chain keto acid dehydrogenase E1 subunit alpha","NS",0.0624821079826534
"RGS3",0.0312,4.28,0.17,0.866,0.98,"Non-endocrine","5998","regulator of G protein signaling 3","NS",0.0624821079826534
"SCN4A",-0.0574,-0.884,-0.169,0.866,0.98,"None","6329","sodium voltage-gated channel alpha subunit 4","NS",0.0624821079826534
"C11orf91",0.0692,0.461,0.168,0.867,0.98,"None","100131378","chromosome 11 open reading frame 91","NS",0.0619809025237897
"ARID5A",-0.0692,5.03,-0.168,0.867,0.98,"None","10865","AT-rich interaction domain 5A","NS",0.0619809025237897
"WDHD1",-0.0334,1.25,-0.168,0.867,0.98,"None","11169","WD repeat and HMG-box DNA binding protein 1","NS",0.0619809025237897
"B3GALT6",0.0286,4.33,0.167,0.867,0.98,"None","126792","beta-1,3-galactosyltransferase 6","NS",0.0619809025237897
"MDP1",-0.0621,-2.57,-0.169,0.867,0.98,"None","145553","magnesium dependent phosphatase 1","NS",0.0619809025237897
"EME1",-0.0569,-0.906,-0.168,0.867,0.98,"None","146956","essential meiotic structure-specific endonuclease 1","NS",0.0619809025237897
"ERG",0.044,2.47,0.168,0.867,0.98,"None","2078","ETS transcription factor ERG","NS",0.0619809025237897
"HOXB6",0.0459,-0.308,0.168,0.867,0.98,"None","3216","homeobox B6","NS",0.0619809025237897
"TDP1",-0.0283,2.94,-0.168,0.867,0.98,"None","55775","tyrosyl-DNA phosphodiesterase 1","NS",0.0619809025237897
"PTH1R",0.0638,1.12,0.168,0.867,0.98,"None","5745","parathyroid hormone 1 receptor","NS",0.0619809025237897
"TGFB1I1",-0.0323,2.18,-0.168,0.867,0.98,"None","7041","transforming growth factor beta 1 induced transcript 1","NS",0.0619809025237897
"LCOR",0.0299,6.16,0.168,0.867,0.98,"None","84458","ligand dependent nuclear receptor corepressor","NS",0.0619809025237897
"TBL1Y",-0.072,0.615,-0.168,0.867,0.98,"None","90665","transducin beta like 1 Y-linked","NS",0.0619809025237897
"RCBTB2",-0.0334,4.04,-0.167,0.868,0.98,"None","1102","RCC1 and BTB domain containing protein 2","NS",0.0614802748235081
"ADGRF1",-0.0767,-0.0394,-0.167,0.868,0.98,"None","266977","adhesion G protein-coupled receptor F1","NS",0.0614802748235081
"RANBP6",0.0249,6.08,0.167,0.868,0.98,"None","26953","RAN binding protein 6","NS",0.0614802748235081
"HOOK2",-0.0276,5.84,-0.166,0.868,0.98,"None","29911","hook microtubule tethering protein 2","NS",0.0614802748235081
"ENOX1",-0.0361,1.82,-0.167,0.868,0.98,"None","55068","ecto-NOX disulfide-thiol exchanger 1","NS",0.0614802748235081
"ZMIZ1",0.0258,7.71,0.167,0.868,0.98,"None","57178","zinc finger MIZ-type containing 1","NS",0.0614802748235081
"S100A13",-0.0455,2.57,-0.167,0.868,0.98,"None","6284","S100 calcium binding protein A13","NS",0.0614802748235081
"MAPK12",-0.0318,3.22,-0.167,0.868,0.98,"None","6300","mitogen-activated protein kinase 12","NS",0.0614802748235081
"CCDC154",-0.0562,-1.06,-0.167,0.868,0.98,"None","645811","coiled-coil domain containing 154","NS",0.0614802748235081
"MTRNR2L1",0.111,-2.42,0.167,0.869,0.98,"None","100462977","MT-RNR2 like 1","NS",0.0609802235513335
"LINC01572",-0.045,-1.58,-0.166,0.869,0.98,"None","101927957","long intergenic non-protein coding RNA 1572","NS",0.0609802235513335
"FAM78B",-0.044,1.18,-0.166,0.869,0.98,"None","149297","family with sequence similarity 78 member B","NS",0.0609802235513335
"RAB21",-0.0367,7.12,-0.166,0.869,0.98,"None","23011","RAB21, member RAS oncogene family","NS",0.0609802235513335
"HINFP",-0.0307,3.27,-0.166,0.869,0.98,"None","25988","histone H4 transcription factor","NS",0.0609802235513335
"PPP1R42",-0.0536,-0.346,-0.166,0.869,0.98,"None","286187","protein phosphatase 1 regulatory subunit 42","NS",0.0609802235513335
"RAET1G",0.0457,-1.86,0.165,0.869,0.98,"None","353091","retinoic acid early transcript 1G","NS",0.0609802235513335
"WDR38",0.0614,-1.82,0.166,0.869,0.98,"None","401551","WD repeat domain 38","NS",0.0609802235513335
"MPO",-0.0436,-1.51,-0.165,0.869,0.98,"None","4353","myeloperoxidase","NS",0.0609802235513335
"ZNF107",0.0326,3.15,0.166,0.869,0.98,"None","51427","zinc finger protein 107","NS",0.0609802235513335
"PHTF2",-0.0268,5.75,-0.166,0.869,0.98,"None","57157","putative homeodomain transcription factor 2","NS",0.0609802235513335
"UBE2E2",-0.0267,3.42,-0.166,0.869,0.98,"None","7325","ubiquitin conjugating enzyme E2 E2","NS",0.0609802235513335
"NEMP2",0.0282,2.11,0.165,0.87,0.98,"None","100131211","nuclear envelope integral membrane protein 2","NS",0.0604807473813815
"CDR2",-0.0339,5.27,-0.164,0.87,0.98,"None","1039","cerebellar degeneration related protein 2","NS",0.0604807473813815
"NR2C2AP",-0.0288,2.61,-0.164,0.87,0.98,"None","126382","nuclear receptor 2C2 associated protein","NS",0.0604807473813815
"CRY1",-0.0539,7.03,-0.164,0.87,0.98,"None","1407","cryptochrome circadian regulator 1","NS",0.0604807473813815
"CYP2D7",-0.0358,1.47,-0.165,0.87,0.98,"None","1564","cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","NS",0.0604807473813815
"TIGD3",-0.0375,0.432,-0.164,0.87,0.98,"None","220359","tigger transposable element derived 3","NS",0.0604807473813815
"VGLL2",-0.0587,-2.56,-0.165,0.87,0.98,"None","245806","vestigial like family member 2","NS",0.0604807473813815
"SIGLEC8",-0.063,-2.09,-0.165,0.87,0.98,"None","27181","sialic acid binding Ig like lectin 8","NS",0.0604807473813815
"KIF4B",-0.0532,-2.61,-0.166,0.87,0.98,"None","285643","kinesin family member 4B","NS",0.0604807473813815
"DEXI",0.0288,2.37,0.165,0.87,0.98,"None","28955","Dexi homolog","NS",0.0604807473813815
"BIRC3",0.0607,5.5,0.164,0.87,0.98,"None","330","baculoviral IAP repeat containing 3","NS",0.0604807473813815
"LAMA4",-0.0369,3.11,-0.164,0.87,0.98,"None","3910","laminin subunit alpha 4","NS",0.0604807473813815
"METTL1",0.0245,2.73,0.164,0.87,0.98,"None","4234","methyltransferase like 1","NS",0.0604807473813815
"FXYD5",0.0408,5.8,0.164,0.87,0.98,"None","53827","FXYD domain containing ion transport regulator 5","NS",0.0604807473813815
"PPP2CA",-0.0295,7.54,-0.165,0.87,0.98,"None","5515","protein phosphatase 2 catalytic subunit alpha","NS",0.0604807473813815
"VPS35L",-0.0251,5.13,-0.164,0.87,0.98,"None","57020","VPS35 endosomal protein sorting factor like","NS",0.0604807473813815
"ALX4",-0.0437,-2.32,-0.165,0.87,0.98,"None","60529","ALX homeobox 4","NS",0.0604807473813815
"ANO3",0.0698,-0.582,0.164,0.87,0.98,"None","63982","anoctamin 3","NS",0.0604807473813815
"CAPN3",-0.0452,0.443,-0.164,0.87,0.98,"None","825","calpain 3","NS",0.0604807473813815
"ACTN2",0.0786,1.51,0.164,0.87,0.98,"None","88","actinin alpha 2","NS",0.0604807473813815
"CDK2AP2",-0.0301,4.6,-0.163,0.871,0.98,"None","10263","cyclin dependent kinase 2 associated protein 2","NS",0.0599818449923368
"GPR146",0.0419,0.47,0.163,0.871,0.98,"None","115330","G protein-coupled receptor 146","NS",0.0599818449923368
"TGM7",-0.0611,-2.79,-0.163,0.871,0.98,"None","116179","transglutaminase 7","NS",0.0599818449923368
"ZNF816",-0.0366,1.81,-0.163,0.871,0.98,"None","125893","zinc finger protein 816","NS",0.0599818449923368
"SPATA18",0.0367,3.69,0.162,0.871,0.98,"None","132671","spermatogenesis associated 18","NS",0.0599818449923368
"PARP1",0.025,6.62,0.163,0.871,0.98,"None","142","poly(ADP-ribose) polymerase 1","NS",0.0599818449923368
"NFXL1",0.0306,3.99,0.163,0.871,0.98,"None","152518","nuclear transcription factor, X-box binding like 1","NS",0.0599818449923368
"SSPO",0.0405,2.45,0.163,0.871,0.98,"None","23145","SCO-spondin","NS",0.0599818449923368
"SYT11",-0.0323,6.82,-0.162,0.871,0.98,"Endocrine","23208","synaptotagmin 11","NS",0.0599818449923368
"PFDN5",-0.0281,7.64,-0.162,0.871,0.98,"None","5204","prefoldin subunit 5","NS",0.0599818449923368
"PLEC",0.0274,7.61,0.163,0.871,0.98,"None","5339","plectin","NS",0.0599818449923368
"PRSS22",-0.0604,5.53,-0.163,0.871,0.98,"None","64063","serine protease 22","NS",0.0599818449923368
"ALG12",0.0213,3.66,0.162,0.871,0.98,"None","79087","ALG12 alpha-1,6-mannosyltransferase","NS",0.0599818449923368
"HOMER1",0.0507,3.84,0.163,0.871,0.98,"None","9456","homer scaffold protein 1","NS",0.0599818449923368
"CDH15",-0.0871,-1.36,-0.162,0.872,0.98,"None","1013","cadherin 15","NS",0.0594835150674328
"STX6",0.0225,3.93,0.162,0.872,0.98,"None","10228","syntaxin 6","NS",0.0594835150674328
"RAB31",0.0277,4.6,0.162,0.872,0.98,"None","11031","RAB31, member RAS oncogene family","NS",0.0594835150674328
"ZNF813",-0.0299,2.29,-0.161,0.872,0.98,"None","126017","zinc finger protein 813","NS",0.0594835150674328
"SLC2A12",-0.0534,1.84,-0.161,0.872,0.98,"None","154091","solute carrier family 2 member 12","NS",0.0594835150674328
"RSBN1L",0.0288,4.58,0.162,0.872,0.98,"None","222194","round spermatid basic protein 1 like","NS",0.0594835150674328
"DPY19L2",0.0458,3.31,0.162,0.872,0.98,"None","283417","dpy-19 like 2","NS",0.0594835150674328
"VPREB3",0.0545,-2.15,0.161,0.872,0.98,"None","29802","V-set pre-B cell surrogate light chain 3","NS",0.0594835150674328
"VPS37C",0.0234,5.27,0.162,0.872,0.98,"None","55048","VPS37C subunit of ESCRT-I","NS",0.0594835150674328
"CALCB",0.0545,1.07,0.161,0.872,0.98,"None","797","calcitonin related polypeptide beta","NS",0.0594835150674328
"PODNL1",-0.0426,-0.724,-0.161,0.872,0.98,"None","79883","podocan like 1","NS",0.0594835150674328
"CSRNP3",0.0536,4.94,0.161,0.872,0.98,"None","80034","cysteine and serine rich nuclear protein 3","NS",0.0594835150674328
"IL18RAP",0.0461,-2.08,0.161,0.872,0.98,"None","8807","interleukin 18 receptor accessory protein","NS",0.0594835150674328
"TMSB10",0.0311,6.86,0.161,0.872,0.98,"None","9168","thymosin beta 10","NS",0.0594835150674328
"LINC02679",0.061,-2.28,0.161,0.873,0.98,"None","105378385","long intergenic non-protein coding RNA 2679","NS",0.0589857562944303
"BTNL3",-0.0689,-2.19,-0.161,0.873,0.98,"None","10917","butyrophilin like 3","NS",0.0589857562944303
"STIP1",0.024,6.89,0.16,0.873,0.98,"None","10963","stress induced phosphoprotein 1","NS",0.0589857562944303
"ZKSCAN7-AS1",0.0426,-1.35,0.161,0.873,0.98,"None","112840933","ZKSCAN7 ZNF cluster antisense RNA 1","NS",0.0589857562944303
"C1QTNF5",0.042,-2.75,0.162,0.873,0.98,"None","114902","C1q and TNF related 5","NS",0.0589857562944303
"COL9A1",-0.0529,-1.1,-0.161,0.873,0.98,"None","1297","collagen type IX alpha 1 chain","NS",0.0589857562944303
"SLC10A5",-0.0456,0.172,-0.161,0.873,0.98,"None","347051","solute carrier family 10 member 5","NS",0.0589857562944303
"KIF22",0.028,3.46,0.16,0.873,0.98,"None","3835","kinesin family member 22","NS",0.0589857562944303
"PPEF2",-0.0573,-2.44,-0.161,0.873,0.98,"None","5470","protein phosphatase with EF-hand domain 2","NS",0.0589857562944303
"WDR45B",-0.0267,7.26,-0.16,0.873,0.98,"None","56270","WD repeat domain 45B","NS",0.0589857562944303
"C15orf39",-0.0215,5.39,-0.16,0.873,0.98,"None","56905","chromosome 15 open reading frame 39","NS",0.0589857562944303
"TMEM121",0.0357,1.38,0.16,0.873,0.98,"None","80757","transmembrane protein 121","NS",0.0589857562944303
"PARP3",0.0221,2.76,0.159,0.874,0.98,"None","10039","poly(ADP-ribose) polymerase family member 3","NS",0.058488567365597
"UQCR11",-0.0259,4,-0.159,0.874,0.98,"None","10975","ubiquinol-cytochrome c reductase, complex III subunit XI","NS",0.058488567365597
"RAPGEF4",-0.0341,4.36,-0.16,0.874,0.98,"None","11069","Rap guanine nucleotide exchange factor 4","NS",0.058488567365597
"STOX1",0.0489,-0.161,0.159,0.874,0.98,"Non-endocrine","219736","storkhead box 1","NS",0.058488567365597
"ZBTB1",0.0256,5.5,0.16,0.874,0.98,"None","22890","zinc finger and BTB domain containing 1","NS",0.058488567365597
"FNBP4",-0.0369,6.77,-0.159,0.874,0.98,"None","23360","formin binding protein 4","NS",0.058488567365597
"OBSL1",0.0235,6.83,0.159,0.874,0.98,"None","23363","obscurin like cytoskeletal adaptor 1","NS",0.058488567365597
"GRIN2B",0.0707,-2.18,0.16,0.874,0.98,"None","2904","glutamate ionotropic receptor NMDA type subunit 2B","NS",0.058488567365597
"ERO1A",0.0295,6.28,0.159,0.874,0.98,"None","30001","endoplasmic reticulum oxidoreductase 1 alpha","NS",0.058488567365597
"LHX1",-0.0517,-2.61,-0.16,0.874,0.98,"None","3975","LIM homeobox 1","NS",0.058488567365597
"ZSCAN32",-0.0329,2.91,-0.159,0.874,0.98,"None","54925","zinc finger and SCAN domain containing 32","NS",0.058488567365597
"PNPO",0.0266,3.7,0.159,0.874,0.98,"None","55163","pyridoxamine 5'-phosphate oxidase","NS",0.058488567365597
"ZNF71",-0.0237,2.95,-0.159,0.874,0.98,"None","58491","zinc finger protein 71","NS",0.058488567365597
"TLE4",0.0349,4.18,0.159,0.874,0.98,"None","7091","TLE family member 4, transcriptional corepressor","NS",0.058488567365597
"SYT3",-0.0438,0.742,-0.16,0.874,0.98,"None","84258","synaptotagmin 3","NS",0.058488567365597
"ZSCAN10",-0.0787,-1.24,-0.159,0.874,0.98,"None","84891","zinc finger and SCAN domain containing 10","NS",0.058488567365597
"CCNB2",-0.0653,-0.462,-0.159,0.874,0.98,"None","9133","cyclin B2","NS",0.058488567365597
"SLC25A26",-0.0236,4.2,-0.158,0.875,0.981,"None","115286","solute carrier family 25 member 26","NS",0.0579919469776868
"ANKFN1",-0.106,-2.37,-0.159,0.875,0.981,"None","162282","ankyrin repeat and fibronectin type III domain containing 1","NS",0.0579919469776868
"UBE2T",0.0596,-0.143,0.158,0.875,0.98,"None","29089","ubiquitin conjugating enzyme E2 T","NS",0.0579919469776868
"PCDHB12",-0.0297,2.86,-0.157,0.875,0.981,"None","56124","protocadherin beta 12","NS",0.0579919469776868
"ZNF430",-0.0376,4,-0.158,0.875,0.981,"None","80264","zinc finger protein 430","NS",0.0579919469776868
"CD59",0.0265,8.48,0.158,0.875,0.981,"None","966","CD59 molecule (CD59 blood group)","NS",0.0579919469776868
"LIMS3",-0.0729,-2.73,-0.16,0.875,0.981,"None","96626","LIM zinc finger domain containing 3","NS",0.0579919469776868
"CDH2",-0.045,4.18,-0.157,0.876,0.981,"None","1000","cadherin 2","NS",0.0574958938319193
"SPACA9",-0.0235,2.38,-0.156,0.876,0.981,"None","11092","sperm acrosome associated 9","NS",0.0574958938319193
"PNLIPRP3",-0.135,-1.83,-0.158,0.876,0.981,"None","119548","pancreatic lipase related protein 3","NS",0.0574958938319193
"TEX26",-0.0488,-2.49,-0.157,0.876,0.981,"None","122046","testis expressed 26","NS",0.0574958938319193
"CCDC167",-0.0355,1.38,-0.156,0.876,0.981,"None","154467","coiled-coil domain containing 167","NS",0.0574958938319193
"MIR9-3HG",-0.0541,0.545,-0.156,0.876,0.981,"None","254559","MIR9-3 host gene","NS",0.0574958938319193
"PIK3CA",-0.0276,4.98,-0.157,0.876,0.981,"None","5290","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","NS",0.0574958938319193
"ZNF654",0.0299,4.5,0.156,0.876,0.981,"None","55279","zinc finger protein 654","NS",0.0574958938319193
"PRG2",0.0704,-1.22,0.157,0.876,0.981,"None","5553","proteoglycan 2, pro eosinophil major basic protein","NS",0.0574958938319193
"BCAT2",0.0333,5.09,0.157,0.876,0.981,"None","587","branched chain amino acid transaminase 2","NS",0.0574958938319193
"EOMES",-0.0652,-1.55,-0.157,0.876,0.981,"None","8320","eomesodermin","NS",0.0574958938319193
"TLK2",-0.0252,5.5,-0.155,0.877,0.981,"None","11011","tousled like kinase 2","NS",0.0570004066339595
"MAPK6-DT",0.0558,-1.94,0.155,0.877,0.981,"None","112543478","MAPK6 divergent transcript","NS",0.0570004066339595
"CCDC159",-0.0255,3.71,-0.155,0.877,0.981,"None","126075","coiled-coil domain containing 159","NS",0.0570004066339595
"LAMA1",-0.0354,1.26,-0.155,0.877,0.981,"None","284217","laminin subunit alpha 1","NS",0.0570004066339595
"DNAJC25",-0.0302,4.5,-0.155,0.877,0.981,"None","548645","DnaJ heat shock protein family (Hsp40) member C25","NS",0.0570004066339595
"PRKCD",-0.0203,4.73,-0.156,0.877,0.981,"None","5580","protein kinase C delta","NS",0.0570004066339595
"RANBP2",0.0276,8.2,0.155,0.877,0.981,"None","5903","RAN binding protein 2","NS",0.0570004066339595
"SNRPB",-0.0366,6.11,-0.155,0.877,0.981,"None","6628","small nuclear ribonucleoprotein polypeptides B and B1","NS",0.0570004066339595
"SSTR2",-0.0383,5.69,-0.155,0.877,0.981,"None","6752","somatostatin receptor 2","NS",0.0570004066339595
"AUNIP",0.048,-1.86,0.155,0.877,0.981,"None","79000","aurora kinase A and ninein interacting protein","NS",0.0570004066339595
"LMLN",0.0299,3.65,0.156,0.877,0.981,"None","89782","leishmanolysin like peptidase","NS",0.0570004066339595
"C11orf52",-0.0415,-2.17,-0.156,0.877,0.981,"None","91894","chromosome 11 open reading frame 52","NS",0.0570004066339595
"BNIPL",-0.0485,-0.288,-0.154,0.878,0.982,"None","149428","BCL2 interacting protein like","NS",0.0565054840938974
"TAS2R13",0.0493,-1.97,0.154,0.878,0.982,"None","50838","taste 2 receptor member 13","NS",0.0565054840938974
"SARS2",-0.0385,0.493,-0.154,0.878,0.982,"None","54938","seryl-tRNA synthetase 2, mitochondrial","NS",0.0565054840938974
"OTUD7B",-0.0282,4.61,-0.154,0.878,0.982,"None","56957","OTU deubiquitinase 7B","NS",0.0565054840938974
"SPTBN1",0.033,8.49,0.154,0.878,0.982,"None","6711","spectrin beta, non-erythrocytic 1","NS",0.0565054840938974
"B3GALT2",-0.0597,1.52,-0.154,0.878,0.982,"None","8707","beta-1,3-galactosyltransferase 2","NS",0.0565054840938974
"HGC6.3",0.0692,-2.13,0.153,0.879,0.982,"None","100128124","uncharacterized LOC100128124","NS",0.0560111249262281
"PDCD7",-0.0231,3.84,-0.153,0.879,0.982,"None","10081","programmed cell death 7","NS",0.0560111249262281
"PTGES3L-AARSD1",0.0559,-2.53,0.154,0.879,0.982,"None","100885850","PTGES3L-AARSD1 readthrough","NS",0.0560111249262281
"CLK2",-0.0246,4.56,-0.153,0.879,0.982,"None","1196","CDC like kinase 2","NS",0.0560111249262281
"EIF2S1",0.0288,5.79,0.153,0.879,0.982,"None","1965","eukaryotic translation initiation factor 2 subunit alpha","NS",0.0560111249262281
"F2R",-0.0415,3.19,-0.153,0.879,0.982,"None","2149","coagulation factor II thrombin receptor","NS",0.0560111249262281
"RRP12",-0.0352,6.94,-0.153,0.879,0.982,"None","23223","ribosomal RNA processing 12 homolog","NS",0.0560111249262281
"BHLHE22",-0.0472,0.411,-0.153,0.879,0.982,"None","27319","basic helix-loop-helix family member e22","NS",0.0560111249262281
"C10orf53",0.0479,-2.36,0.153,0.879,0.982,"None","282966","chromosome 10 open reading frame 53","NS",0.0560111249262281
"N6AMT1",-0.0618,1.66,-0.152,0.879,0.982,"None","29104","N-6 adenine-specific DNA methyltransferase 1","NS",0.0560111249262281
"PAK6",0.0375,4.6,0.153,0.879,0.982,"None","56924","p21 (RAC1) activated kinase 6","NS",0.0560111249262281
"WDFY1",0.0345,5.58,0.152,0.879,0.982,"None","57590","WD repeat and FYVE domain containing 1","NS",0.0560111249262281
"MOGS",-0.0254,5.26,-0.153,0.879,0.982,"None","7841","mannosyl-oligosaccharide glucosidase","NS",0.0560111249262281
"ZNF606",0.0233,3.29,0.153,0.879,0.982,"None","80095","zinc finger protein 606","NS",0.0560111249262281
"TOX2",-0.0353,1.61,-0.153,0.879,0.982,"None","84969","TOX high mobility group box family member 2","NS",0.0560111249262281
"MEX3A",-0.0466,-0.0373,-0.153,0.879,0.982,"Non-endocrine","92312","mex-3 RNA binding family member A","NS",0.0560111249262281
"TRIP10",0.0419,5.51,0.153,0.879,0.982,"None","9322","thyroid hormone receptor interactor 10","NS",0.0560111249262281
"GLRX3",0.0224,5.24,0.151,0.88,0.982,"None","10539","glutaredoxin 3","NS",0.0555173278498314
"ETF1",-0.0284,7.6,-0.152,0.88,0.982,"None","2107","eukaryotic translation termination factor 1","NS",0.0555173278498314
"LYSMD1",0.0394,1.64,0.152,0.88,0.982,"None","388695","LysM domain containing 1","NS",0.0555173278498314
"GOLGA7",-0.0266,4.52,-0.152,0.88,0.982,"None","51125","golgin A7","NS",0.0555173278498314
"OLFML3",-0.0289,3.55,-0.151,0.88,0.982,"None","56944","olfactomedin like 3","NS",0.0555173278498314
"TIMP1",0.0311,7.63,0.152,0.88,0.982,"None","7076","TIMP metallopeptidase inhibitor 1","NS",0.0555173278498314
"ZXDC",-0.0231,5.71,-0.151,0.88,0.982,"None","79364","ZXD family zinc finger C","NS",0.0555173278498314
"CBLL1",-0.024,4.85,-0.151,0.88,0.982,"None","79872","Cbl proto-oncogene like 1","NS",0.0555173278498314
"FRMD7",0.0406,-2.43,0.152,0.88,0.982,"None","90167","FERM domain containing 7","NS",0.0555173278498314
"ARPC3",-0.0214,6.42,-0.15,0.881,0.983,"None","10094","actin related protein 2/3 complex subunit 3","NS",0.0550240915879521
"SPON2",0.0304,4.16,0.15,0.881,0.983,"None","10417","spondin 2","NS",0.0550240915879521
"KDR",0.0553,4.67,0.15,0.881,0.983,"None","3791","kinase insert domain receptor","NS",0.0550240915879521
"CWC15",0.0229,4.89,0.15,0.881,0.983,"None","51503","CWC15 spliceosome associated protein homolog","NS",0.0550240915879521
"PSMG2",0.0213,5.01,0.15,0.881,0.983,"None","56984","proteasome assembly chaperone 2","NS",0.0550240915879521
"ZDHHC14",-0.0225,4.84,-0.15,0.881,0.983,"None","79683","zinc finger DHHC-type palmitoyltransferase 14","NS",0.0550240915879521
"DHRS13",-0.0222,2.55,-0.149,0.882,0.983,"None","147015","dehydrogenase/reductase 13","NS",0.0545314148681803
"EFHB",0.0604,1.41,0.149,0.882,0.983,"None","151651","EF-hand domain family member B","NS",0.0545314148681803
"FMR1NB",0.0584,-2.59,0.151,0.882,0.983,"None","158521","FMR1 neighbor","NS",0.0545314148681803
"ZNF431",0.0291,4.54,0.149,0.882,0.983,"None","170959","zinc finger protein 431","NS",0.0545314148681803
"AP4E1",0.0235,3.59,0.149,0.882,0.983,"None","23431","adaptor related protein complex 4 subunit epsilon 1","NS",0.0545314148681803
"GK",-0.0303,3.56,-0.149,0.882,0.983,"None","2710","glycerol kinase","NS",0.0545314148681803
"TFPT",-0.0236,2.77,-0.149,0.882,0.983,"None","29844","TCF3 fusion partner","NS",0.0545314148681803
"PABPN1L",0.0431,-2.12,0.149,0.882,0.983,"None","390748","PABPN1 like, cytoplasmic","NS",0.0545314148681803
"LIMK1",0.0261,4.2,0.149,0.882,0.983,"None","3984","LIM domain kinase 1","NS",0.0545314148681803
"TIMMDC1",0.0255,5.01,0.149,0.882,0.983,"None","51300","translocase of inner mitochondrial membrane domain containing 1","NS",0.0545314148681803
"PMS2",-0.0243,3.2,-0.148,0.882,0.983,"None","5395","PMS1 homolog 2, mismatch repair system component","NS",0.0545314148681803
"FBXO48",-0.0347,1.2,-0.148,0.882,0.983,"None","554251","F-box protein 48","NS",0.0545314148681803
"ZFP37",0.0275,3.1,0.149,0.882,0.983,"None","7539","ZFP37 zinc finger protein","NS",0.0545314148681803
"FRMPD2",-0.0435,-2.31,-0.148,0.883,0.983,"None","143162","FERM and PDZ domain containing 2","NS",0.0540392964224314
"SLC22A31",0.112,0.849,0.147,0.883,0.983,"Non-endocrine","146429","solute carrier family 22 member 31","NS",0.0540392964224314
"HEPACAM",0.106,-2.73,0.149,0.883,0.983,"None","220296","hepatic and glial cell adhesion molecule","NS",0.0540392964224314
"RHOH",0.035,-1.18,0.148,0.883,0.983,"None","399","ras homolog family member H","NS",0.0540392964224314
"NPTX1",-0.0573,-0.972,-0.147,0.883,0.983,"None","4884","neuronal pentraxin 1","NS",0.0540392964224314
"TYMSOS",0.0473,-2.01,0.148,0.883,0.983,"None","494514","TYMS opposite strand","NS",0.0540392964224314
"MTHFSD",0.0281,3.08,0.147,0.883,0.983,"None","64779","methenyltetrahydrofolate synthetase domain containing","NS",0.0540392964224314
"VDAC2",-0.0212,6.64,-0.148,0.883,0.983,"None","7417","voltage dependent anion channel 2","NS",0.0540392964224314
